[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066793, 64.1584785221201, 84.0591079006122)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627999, 62.4513337449586, 33.2996319870242)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627999, 62.4513337449586, 33.2996319870242)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.8422309066793, 64.1584785221201, 84.0591079006122)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156095428, 48.2882732273764)]	1	2	0	60.00	3100	6.08273328751454
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782682784, 84.0591079031381)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(0.820433721328399, 84.8294156047812, 48.2882732238996)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556583417, 21.5007814675215)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.713268162112, 95.2735136372239, 89.9686328727319)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156047812, 48.2882732238996)]	1	2	1	80.00	4689	1.9132668684821
[(3.8422309066366, 64.1584782694273, 84.059107901556)(24.7132681611522, 95.2735121835196, 89.9686327635245)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680628935, 62.4513343388768, 33.2996321969868)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680628935, 62.4513343388768, 33.2996321969868)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121835196, 89.9686327635245)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(10.3867680628935, 62.4513343388768, 33.2996321969868)]	1	2	2	40.00	6238	7.99600015582755
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.84223090663662, 64.1584782666394, 84.0591079064389)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(16.8309892183474, 62.3454839020596, 33.3781619329563)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(54.579041484721, 33.6780453418122, 21.5008208513505)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.84223090663662, 64.1584782666394, 84.0591079064389)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156021097, 48.2882732291405)]	1	2	3	40.00	7862	12.3929805297937
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782703686, 84.0591079011624)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(0.820433721336201, 84.8294154289668, 48.2882732304862)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.929397249693, 33.1785556566602, 21.5007785433713)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(57.5728494159751, 95.2899869111183, 89.4528993690133)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721336201, 84.8294154289668, 48.2882732304862)]	1	2	4	60.00	9496	8.48518312002607
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.84223090663669, 64.158478281193, 84.0591079020634)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338143079, 33.2996321958791)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(20.8371002912407, 33.2113892833104, 21.5319589952084)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(29.8079347161528, 95.3864889659949, 89.9686327639235)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156035485, 48.2882732318899)]	1	2	5	60.00	11104	1.20047392008103
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782702183, 84.0591079040378)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338158331, 33.2996321962609)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627791, 62.4513338158331, 33.2996321962609)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121830733, 89.9686327624217)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156088794, 48.2882732275015)]	1	2	6	80.00	12693	1.90852583661142
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.84223090663671, 64.1584782661587, 84.0591078883921)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338153363, 33.2996321883658)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556570536, 21.5007814705447)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.84223090663671, 64.1584782661587, 84.0591078883921)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156040477, 48.2882732325999)]	1	2	7	80.00	14290	4.17420745090313
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782704048, 84.0591079017909)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(0.820433721328399, 84.8294156051157, 48.2882732309889)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556547664, 21.5007814649761)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.8422309066366, 64.1584782704048, 84.0591079017909)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156051157, 48.2882732309889)]	1	2	8	60.00	15872	6.08747431919326
[(3.8422309066366, 64.1584782694273, 84.059107901556)(0.820433721328399, 84.8294156097486, 48.2882732311709)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338108574, 33.2996321941839)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556524181, 21.5007814667333)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(0.820433721328399, 84.8294156097486, 48.2882732311709)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156097486, 48.2882732311709)]	1	2	9	60.00	17473	5.3829263250264
